name,lon,lat,east_disp,north_disp,up_disp,east_sig,north_sig,up_sig,
"OLAR",237.0916,46.9611,0,0,0,1,1,1,
"OLMP",237.1048,47.0448,0,0,0,1,1,1,
"ONAB",235.9256,44.5145,0,0,0,1,1,1,
"OTIS",237.6637,48.4177,0,0,0,1,1,1,
"OYLR",237.7953,47.4746,-4.5922,-2.0392,0,0.045744,0.036081,1,
"P058",235.9246,40.8763,0,0,0,1,1,1,
"P059",236.2738,38.9283,0,0,0,1,1,1,
"P060",237.5851,40.9976,0,0,0,1,1,1,
"P061",235.986,42.9674,0,0,0,1,1,1,
"P064",236.5124,47.9698,-5.9303,-1.0291,0,0.075014,0.098877,1,
"P154",236.64,41.807,0,0,0,1,1,1,
"P155",236.8113,41.2724,0,0,0,1,1,1,
"P156",236.0939,40.0244,0,0,0,1,1,1,
"P157",235.6919,40.2475,0,0,0,1,1,1,
"P158",235.893,40.422,0,0,0,1,1,1,
"P159",235.7172,40.5048,0,0,0,1,1,1,
"P160",235.867,40.551,0,0,0,1,1,1,
"P161",235.7869,40.6374,0,0,0,1,1,1,
"P162",235.763,40.691,0,0,0,1,1,1,
"P163",235.9427,40.2196,0,0,0,1,1,1,
"P164",236.307,40.119,0,0,0,1,1,1,
"P165",236.1467,40.2455,0,0,0,1,1,1,
"P166",236.1372,40.4352,0,0,0,1,1,1,
"P167",236.1198,40.5437,0,0,0,1,1,1,
"P168",236.1185,40.6686,0,0,0,1,1,1,
"P169",236.032,40.791,0,0,0,1,1,1,
"P170",236.137,40.88,0,0,0,1,1,1,
"P179",236.3145,42.0989,0,0,0,1,1,1,
"P184",236.2911,39.1171,0,0,0,1,1,1,
"P185",236.2507,39.2613,0,0,0,1,1,1,
"P186",236.4819,39.1501,0,0,0,1,1,1,
"P187",236.3975,39.3525,0,0,0,1,1,1,
"P189",236.6516,38.9874,0,0,0,1,1,1,
"P190",236.796,39.242,0,0,0,1,1,1,
"P191",236.3678,42.2753,0,0,0,1,1,1,
"P192",236.8948,39.3197,0,0,0,1,1,1,
"P195",237.0408,38.6646,0,0,0,1,1,1,
"P203",237.0831,38.8661,0,0,0,1,1,1,
"P204",237.2895,38.6664,0,0,0,1,1,1,
"P205",237.037,39.3981,0,0,0,1,1,1,
"P206",237.4242,38.7778,0,0,0,1,1,1,
"P207",237.2815,39.26,0,0,0,1,1,1,
"P208",237.6961,39.1093,0,0,0,1,1,1,
"P269",237.6457,38.9994,0,0,0,1,1,1,
"P270",237.945,39.244,0,0,0,1,1,1,
"P272",238.0569,39.1455,0,0,0,1,1,1,
"P312",236.3016,39.5292,0,0,0,1,1,1,
"P313",236.4355,39.5543,0,0,0,1,1,1,
"P314",236.4182,39.6857,0,0,0,1,1,1,
"P315",236.283,39.864,0,0,0,1,1,1,
"P316",235.914,41.559,0,0,0,1,1,1,
"P317",236.4481,39.9057,0,0,0,1,1,1,
"P318",236.6281,39.4524,0,0,0,1,1,1,
"P319",236.705,39.707,0,0,0,1,1,1,
"P320",236.8133,39.4928,0,0,0,1,1,1,
"P321",236.6051,39.8972,0,0,0,1,1,1,
"P322",236.8176,39.9621,0,0,0,1,1,1,
"P324",236.3443,40.2568,0,0,0,1,1,1,
"P325",236.1174,41.1517,0,0,0,1,1,1,
"P326",236.3011,40.5753,0,0,0,1,1,1,
"P327",236.427,40.4788,0,0,0,1,1,1,
"P329",236.548,40.0822,0,0,0,1,1,1,
"P330",236.8645,40.324,0,0,0,1,1,1,
"P331",236.6759,40.7329,0,0,0,1,1,1,
"P332",236.8255,40.5467,0,0,0,1,1,1,
"P333",237.0243,39.6213,0,0,0,1,1,1,
"P334",237.2641,39.4936,0,0,0,1,1,1,
"P335",237.1264,39.7261,0,0,0,1,1,1,
"P336",237.5696,39.528,0,0,0,1,1,1,
"P337",237.1313,40.2961,0,0,0,1,1,1,
"P338",237.077,40.7476,0,0,0,1,1,1,
"P339",237.3318,40.0341,0,0,0,1,1,1,
"P340",236.9502,39.4093,0,0,0,1,1,1,
